State/UT,Crime Type,Number of Crimes
Maharashtra,Kidnapping and Abduction (Sec.363–368 IPC),11
Maharashtra,Rape (Sec.376 IPC),11
Maharashtra,Extortion (Sec.384–389 IPC),24
Maharashtra,Robbery (Sec.392–398 IPC),356
Maharashtra,Theft (Sec.379 IPC),1288
Maharashtra,Dacoity (Total),15
Maharashtra,Criminal Trespass (Sec.447–452 IPC),101
Maharashtra,"Fraud (Sec.420 r/w Sec.465,468–471 IPC)",150
Maharashtra,Cheating (Sec.420 IPC),617
Maharashtra,"Forgery (Sec.467,468,469,471 & 474 IPC)",73
Maharashtra,Criminal Intimidation (Sec.506 IPC),9
Maharashtra,Other IPC Crimes,461
Manipur,Murder (Sec.302 IPC),0
Manipur,Culpable Homicide not amounting to Murder (Sec.304 IPC),0
Manipur,Attempt to Commit Murder (Sec.307 IPC),1
Manipur,Attempt to Commit Culpable Homicide (Sec.308 IPC),0
Manipur,Simple Hurt (Sec.323 & 324 IPC),0
Manipur,"Grievous Hurt (Sec.325,326,326A & 326B IPC)",1
Manipur,Assault on Women with Intent to Outrage her Modesty (Sec.354 IPC),1
Manipur,Kidnapping and Abduction (Sec.363–368 IPC),0
Manipur,Rape (Sec.376 IPC),0
Manipur,Extortion (Sec.384–389 IPC),0
Manipur,Robbery (Sec.392–398 IPC),0
Manipur,Theft (Sec.379 IPC),0
Manipur,Dacoity (Total),0
Manipur,Criminal Trespass (Sec.447–452 IPC),0
Manipur,"Fraud (Sec.420 r/w Sec.465,468–471 IPC)",0
Manipur,Cheating (Sec.420 IPC),0
Manipur,"Forgery (Sec.467,468,469,471 & 474 IPC)",0
Manipur,Criminal Intimidation (Sec.506 IPC),0
Manipur,Other IPC Crimes,1
Meghalaya,Murder (Sec.302 IPC),0
Meghalaya,Culpable Homicide not amounting to Murder (Sec.304 IPC),0
Meghalaya,Attempt to Commit Murder (Sec.307 IPC),0
Meghalaya,Attempt to Commit Culpable Homicide (Sec.308 IPC),0
Meghalaya,Simple Hurt (Sec.323 & 324 IPC),0
Meghalaya,"Grievous Hurt (Sec.325,326,326A & 326B IPC)",0
Meghalaya,Assault on Women with Intent to Outrage her Modesty (Sec.354 IPC),0
Meghalaya,Kidnapping and Abduction (Sec.363–368 IPC),0
Meghalaya,Rape (Sec.376 IPC),0
Meghalaya,Extortion (Sec.384–389 IPC),0
Meghalaya,Robbery (Sec.392–398 IPC),0
Meghalaya,Theft (Sec.379 IPC),0
Meghalaya,Dacoity (Total),0
Meghalaya,Criminal Trespass (Sec.447–452 IPC),0
Meghalaya,"Fraud (Sec.420 r/w Sec.465,468–471 IPC)",0
Meghalaya,Cheating (Sec.420 IPC),0
Meghalaya,"Forgery (Sec.467,468,469,471 & 474 IPC)",0
Meghalaya,Criminal Intimidation (Sec.506 IPC),0
Meghalaya,Other IPC Crimes,0
Mizoram,Murder (Sec.302 IPC),0
Mizoram,Culpable Homicide not amounting to Murder (Sec.304 IPC),0
Mizoram,Attempt to Commit Murder (Sec.307 IPC),0
Mizoram,Attempt to Commit Culpable Homicide (Sec.308 IPC),0
Mizoram,Simple Hurt (Sec.323 & 324 IPC),0
Mizoram,"Grievous Hurt (Sec.325,326,326A & 326B IPC)",1
Mizoram,Assault on Women with Intent to Outrage her Modesty (Sec.354 IPC),1
Mizoram,Kidnapping and Abduction (Sec.363–368 IPC),0
Mizoram,Rape (Sec.376 IPC),0
Mizoram,Extortion (Sec.384–389 IPC),0
Mizoram,Robbery (Sec.392–398 IPC),0
Mizoram,Theft (Sec.379 IPC),3
Mizoram,Dacoity (Total),0
Mizoram,Criminal Trespass (Sec.447–452 IPC),0
Mizoram,"Fraud (Sec.420 r/w Sec.465,468–471 IPC)",1
Mizoram,Cheating (Sec.420 IPC),0
Mizoram,"Forgery (Sec.467,468,469,471 & 474 IPC)",0
Mizoram,Criminal Intimidation (Sec.506 IPC),1
Mizoram,Other IPC Crimes,2
Nagaland,Murder (Sec.302 IPC),1
Nagaland,Culpable Homicide not amounting to Murder (Sec.304 IPC),0
Nagaland,Attempt to Commit Murder (Sec.307 IPC),0
Nagaland,Attempt to Commit Culpable Homicide (Sec.308 IPC),0
Nagaland,Simple Hurt (Sec.323 & 324 IPC),0
Nagaland,"Grievous Hurt (Sec.325,326,326A & 326B IPC)",0
Nagaland,Assault on Women with Intent to Outrage her Modesty (Sec.354 IPC),0
Nagaland,Kidnapping and Abduction (Sec.363–368 IPC),0
Nagaland,Rape (Sec.376 IPC),0
Nagaland,Extortion (Sec.384–389 IPC),0
Nagaland,Robbery (Sec.392–398 IPC),0
Nagaland,Theft (Sec.379 IPC),6
Nagaland,Dacoity (Total),0
Nagaland,Criminal Trespass (Sec.447–452 IPC),0
Nagaland,"Fraud (Sec.420 r/w Sec.465,468–471 IPC)",0
Nagaland,Cheating (Sec.420 IPC),1
Nagaland,"Forgery (Sec.467,468,469,471 & 474 IPC)",2
Nagaland,Criminal Intimidation (Sec.506 IPC),1
Nagaland,Other IPC Crimes,0
Odisha,Murder (Sec.302 IPC),4
Odisha,Culpable Homicide not amounting to Murder (Sec.304 IPC),1
Odisha,Attempt to Commit Murder (Sec.307 IPC),9
Odisha,Attempt to Commit Culpable Homicide (Sec.308 IPC),0
Odisha,Simple Hurt (Sec.323 & 324 IPC),14
Odisha,"Grievous Hurt (Sec.325,326,326A & 326B IPC)",1
Odisha,Assault on Women with Intent to Outrage her Modesty (Sec.354 IPC),3
Odisha,Kidnapping and Abduction (Sec.363–368 IPC),0
Odisha,Rape (Sec.376 IPC),4
Odisha,Extortion (Sec.384–389 IPC),1
Odisha,Robbery (Sec.392–398 IPC),5
Odisha,Theft (Sec.379 IPC),29
Odisha,Dacoity (Total),0
Odisha,Criminal Trespass (Sec.447–452 IPC),2
Odisha,"Fraud (Sec.420 r/w Sec.465,468–471 IPC)",0
Odisha,Cheating (Sec.420 IPC),6
Odisha,"Forgery (Sec.467,468,469,471 & 474 IPC)",0
Odisha,Criminal Intimidation (Sec.506 IPC),75
Odisha,Other IPC Crimes,397
Punjab,Murder (Sec.302 IPC),62
Punjab,Culpable Homicide not amounting to Murder (Sec.304 IPC),6
Punjab,Attempt to Commit Murder (Sec.307 IPC),6
Punjab,Attempt to Commit Culpable Homicide (Sec.308 IPC),2
Punjab,Simple Hurt (Sec.323 & 324 IPC),17
Punjab,"Grievous Hurt (Sec.325,326,326A & 326B IPC)",37
Punjab,Assault on Women with Intent to Outrage her Modesty (Sec.354 IPC),7
Punjab,Kidnapping and Abduction (Sec.363–368 IPC),0
Punjab,Rape (Sec.376 IPC),6
Punjab,Extortion (Sec.384–389 IPC),3
Punjab,Robbery (Sec.392–398 IPC),1
Punjab,Theft (Sec.379 IPC),68
Punjab,Dacoity (Total),2
Punjab,Criminal Trespass (Sec.447–452 IPC),18
Punjab,"Fraud (Sec.420 r/w Sec.465,468–471 IPC)",7
Punjab,Cheating (Sec.420 IPC),33
Punjab,"Forgery (Sec.467,468,469,471 & 474 IPC)",0
Punjab,Criminal Intimidation (Sec.506 IPC),0
Punjab,Other IPC Crimes,39
Rajasthan,Murder (Sec.302 IPC),7
Rajasthan,Culpable Homicide not amounting to Murder (Sec.304 IPC),0
Rajasthan,Attempt to Commit Murder (Sec.307 IPC),1
Rajasthan,Attempt to Commit Culpable Homicide (Sec.308 IPC),0
Rajasthan,Simple Hurt (Sec.323 & 324 IPC),4
Rajasthan,"Grievous Hurt (Sec.325,326,326A & 326B IPC)",0
Rajasthan,Assault on Women with Intent to Outrage her Modesty (Sec.354 IPC),0
Rajasthan,Kidnapping and Abduction (Sec.363–368 IPC),0
Rajasthan,Rape (Sec.376 IPC),0
Rajasthan,Extortion (Sec.384–389 IPC),0
Rajasthan,Robbery (Sec.392–398 IPC),2
Rajasthan,Theft (Sec.379 IPC),47
Rajasthan,Dacoity (Total),0
Rajasthan,Criminal Trespass (Sec.447–452 IPC),0
Rajasthan,"Fraud (Sec.420 r/w Sec.465,468–471 IPC)",14
Rajasthan,Cheating (Sec.420 IPC),13
Rajasthan,"Forgery (Sec.467,468,469,471 & 474 IPC)",0
Rajasthan,Criminal Intimidation (Sec.506 IPC),1
Rajasthan,Other IPC Crimes,189
Sikkim,Murder (Sec.302 IPC),3
Sikkim,Culpable Homicide not amounting to Murder (Sec.304 IPC),0
Sikkim,Attempt to Commit Murder (Sec.307 IPC),0
Sikkim,Attempt to Commit Culpable Homicide (Sec.308 IPC),0
Sikkim,Simple Hurt (Sec.323 & 324 IPC),0
Sikkim,"Grievous Hurt (Sec.325,326,326A & 326B IPC)",0
Sikkim,Assault on Women with Intent to Outrage her Modesty (Sec.354 IPC),0
Sikkim,Kidnapping and Abduction (Sec.363–368 IPC),0
Sikkim,Rape (Sec.376 IPC),1
Sikkim,Extortion (Sec.384–389 IPC),0
Sikkim,Robbery (Sec.392–398 IPC),0
Sikkim,Theft (Sec.379 IPC),0
Sikkim,Dacoity (Total),0
Sikkim,Criminal Trespass (Sec.447–452 IPC),0
Sikkim,"Fraud (Sec.420 r/w Sec.465,468–471 IPC)",0
Sikkim,Cheating (Sec.420 IPC),0
Sikkim,"Forgery (Sec.467,468,469,471 & 474 IPC)",0
Sikkim,Criminal Intimidation (Sec.506 IPC),1
Sikkim,Other IPC Crimes,0
Tamil Nadu,Murder (Sec.302 IPC),198
Tamil Nadu,Culpable Homicide not amounting to Murder (Sec.304 IPC),1
Tamil Nadu,Attempt to Commit Murder (Sec.307 IPC),67
Tamil Nadu,Attempt to Commit Culpable Homicide (Sec.308 IPC),0
Tamil Nadu,Simple Hurt (Sec.323 & 324 IPC),701
Tamil Nadu,"Grievous Hurt (Sec.325,326,326A & 326B IPC)",42
Tamil Nadu,Assault on Women with Intent to Outrage her Modesty (Sec.354 IPC),13
Tamil Nadu,Kidnapping and Abduction (Sec.363–368 IPC),3
Tamil Nadu,Rape (Sec.376 IPC),11
Tamil Nadu,Extortion (Sec.384–389 IPC),15
Tamil Nadu,Robbery (Sec.392–398 IPC),242
Tamil Nadu,Theft (Sec.379 IPC),326
Tamil Nadu,Dacoity (Total),4
Tamil Nadu,Criminal Trespass (Sec.447–452 IPC),34
Tamil Nadu,"Fraud (Sec.420 r/w Sec.465,468–471 IPC)",20
Tamil Nadu,Cheating (Sec.420 IPC),157
Tamil Nadu,"Forgery (Sec.467,468,469,471 & 474 IPC)",45
Tamil Nadu,Criminal Intimidation (Sec.506 IPC),91
Tamil Nadu,Other IPC Crimes,406
Telangana,Murder (Sec.302 IPC),59
Telangana,Culpable Homicide not amounting to Murder (Sec.304 IPC),14
Telangana,Attempt to Commit Murder (Sec.307 IPC),25
Telangana,Attempt to Commit Culpable Homicide (Sec.308 IPC),0
Telangana,Simple Hurt (Sec.323 & 324 IPC),326
Telangana,"Grievous Hurt (Sec.325,326,326A & 326B IPC)",31
Telangana,Assault on Women with Intent to Outrage her Modesty (Sec.354 IPC),17
Telangana,Kidnapping and Abduction (Sec.363–368 IPC),3
Telangana,Rape (Sec.376 IPC),3
Telangana,Extortion (Sec.384–389 IPC),8
Telangana,Robbery (Sec.392–398 IPC),24
Telangana,Theft (Sec.379 IPC),242
Telangana,Dacoity (Total),0
Telangana,Criminal Trespass (Sec.447–452 IPC),346
Telangana,"Fraud (Sec.420 r/w Sec.465,468–471 IPC)",83
Telangana,Cheating (Sec.420 IPC),559
Telangana,"Forgery (Sec.467,468,469,471 & 474 IPC)",13
Telangana,Criminal Intimidation (Sec.506 IPC),86
Telangana,Other IPC Crimes,342
Tripura,Murder (Sec.302 IPC),11
Tripura,Culpable Homicide not amounting to Murder (Sec.304 IPC),0
Tripura,Attempt to Commit Murder (Sec.307 IPC),1
Tripura,Attempt to Commit Culpable Homicide (Sec.308 IPC),0
Tripura,Simple Hurt (Sec.323 & 324 IPC),0
Tripura,"Grievous Hurt (Sec.325,326,326A & 326B IPC)",0
Tripura,Assault on Women with Intent to Outrage her Modesty (Sec.354 IPC),0
Tripura,Kidnapping and Abduction (Sec.363–368 IPC),0
Tripura,Rape (Sec.376 IPC),0
Tripura,Extortion (Sec.384–389 IPC),0
Tripura,Robbery (Sec.392–398 IPC),0
Tripura,Theft (Sec.379 IPC),0
Tripura,Dacoity (Total),0
Tripura,Criminal Trespass (Sec.447–452 IPC),0
Tripura,"Fraud (Sec.420 r/w Sec.465,468–471 IPC)",0
Tripura,Cheating (Sec.420 IPC),0
Tripura,"Forgery (Sec.467,468,469,471 & 474 IPC)",0
Tripura,Criminal Intimidation (Sec.506 IPC),0
Tripura,Other IPC Crimes,0
Uttar Pradesh,Murder (Sec.302 IPC),98
Uttar Pradesh,Culpable Homicide not amounting to Murder (Sec.304 IPC),19
Uttar Pradesh,Attempt to Commit Murder (Sec.307 IPC),2
